Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
v778 form,35,1.31,22.86%,15.22%,00:02:36,3.20
veterans,35,1.63,8.57%,29.82%,00:02:48,2.91
what to do when someone dies,35,1.14,2.86%,32.50%,00:05:11,5.40
white papers,35,1.34,31.43%,31.91%,00:03:49,1.74
william hague,35,1.14,20.00%,25.00%,00:01:32,1.43
wine,35,1.37,20.00%,33.33%,00:02:46,2.17
work program,35,1.17,34.29%,34.15%,00:01:10,1.66
Working tax,35,1.03,5.71%,13.89%,00:04:28,4.54
wrongful dismissal,35,1.29,17.14%,15.56%,00:06:42,4.11
wtc,35,1.06,11.43%,72.97%,00:00:35,1.00
x61,35,1.29,2.86%,17.78%,00:01:46,1.91
16 year old,34,1.24,8.82%,45.24%,00:01:16,1.71
70,34,1.18,2.94%,15.00%,00:04:34,2.41
Advertising a job,34,1.12,0.00%,7.89%,00:02:21,1.38
agency worker,34,1.32,0.00%,17.78%,00:03:19,4.76
allotments,34,1.71,11.76%,18.97%,00:02:45,3.29
animal care,34,1.29,11.76%,20.45%,00:03:26,1.94
annual leave entitlement,34,1.26,0.00%,25.58%,00:02:23,4.88
Application,34,1.21,23.53%,41.46%,00:01:44,1.82
authorised person,34,1.32,11.76%,24.44%,00:03:41,2.79
auto enrollment,34,1.44,5.88%,16.33%,00:01:17,2.56
automatic,34,1.18,11.76%,57.50%,00:02:15,2.29
Bank holiday,34,1.18,2.94%,7.50%,00:00:58,2.03
BIM,34,1.68,8.82%,5.26%,00:03:17,2.85
blog,34,1.24,29.41%,11.90%,00:03:47,2.56
Blue badge renewal,34,1.41,11.76%,12.50%,00:03:49,2.06
book practical,34,1.26,0.00%,9.30%,00:02:25,2.21
bribery,34,1.68,20.59%,12.28%,00:02:45,1.94
business loans,34,1.29,2.94%,25.00%,00:04:06,4.35
buy to let,34,1.29,11.76%,34.09%,00:04:00,2.44
certificate of free sale,34,1.50,20.59%,45.10%,00:03:02,1.59
checkdrivercpc,34,1.03,0.00%,5.71%,00:03:53,1.97
child tax credit form,34,1.09,5.88%,24.32%,00:04:47,5.32
coal,34,1.38,5.88%,34.04%,00:02:34,2.41
coffee,34,1.21,14.71%,53.66%,00:02:13,1.65
compulsory purchase,34,1.71,8.82%,12.07%,00:03:17,3.71
consolidated list,34,1.32,2.94%,35.56%,00:04:26,2.76
Construction,34,1.44,26.47%,30.61%,00:03:32,3.03
contraception,34,1.68,20.59%,42.11%,00:05:21,3.29
cross compliance,34,4.15,20.59%,5.67%,00:27:31,13.94
cvs,34,1.06,20.59%,38.89%,00:02:00,1.44
d27,34,1.15,2.94%,17.95%,00:03:59,3.44
d8,34,1.15,8.82%,46.15%,00:02:31,2.09
declaration,34,1.21,5.88%,51.22%,00:02:27,3.44
dental care,34,1.26,29.41%,37.21%,00:02:04,1.06
direct,34,1.06,35.29%,30.56%,00:02:16,2.09
discharge,34,1.29,5.88%,61.36%,00:01:19,0.97
Dogs,34,1.24,14.71%,19.05%,00:02:32,2.53
dps,34,1.35,8.82%,28.26%,00:09:54,5.12
driving licence application,34,1.09,11.76%,29.73%,00:03:15,2.12
driving liscence,34,1.15,8.82%,23.08%,00:02:53,2.12
driving practical,34,1.15,0.00%,5.13%,00:04:51,3.24
Drugs,34,1.09,17.65%,24.32%,00:02:32,1.53
e11 card,34,1.18,41.18%,45.00%,00:00:22,0.35
E121,34,1.47,8.82%,48.00%,00:04:14,2.44
Eco,34,1.24,5.88%,14.29%,00:05:16,2.38
employees,34,1.12,23.53%,47.37%,00:02:44,3.09
empty homes,34,1.59,29.41%,14.81%,00:04:45,2.24
energy monitors,34,1.79,17.65%,40.98%,00:02:08,2.47
entitlement,34,1.18,0.00%,62.50%,00:02:43,4.59
ESA1,34,1.06,2.94%,22.22%,00:04:29,2.97
europe,34,1.21,14.71%,34.15%,00:01:37,0.97
evaluation,34,1.21,5.88%,48.78%,00:02:08,2.56
EX50,34,1.32,5.88%,17.78%,00:03:37,2.06
Fines,34,1.12,23.53%,23.68%,00:02:10,1.12
Fire,34,1.47,8.82%,30.00%,00:02:55,3.32
foster care,34,1.44,17.65%,16.33%,00:04:16,4.26
free glasses,34,1.21,14.71%,60.98%,00:01:12,1.18
functional skills,34,1.21,38.24%,24.39%,00:01:35,1.53
gems,34,1.26,26.47%,27.91%,00:02:35,1.85
give way,34,1.29,11.76%,47.73%,00:02:36,4.68
government,34,1.29,26.47%,38.64%,00:03:23,2.29
grant of representation,34,1.12,14.71%,13.16%,00:04:50,3.65
GREEN DEAL,34,1.21,2.94%,14.63%,00:06:10,4.44
habitual residence test,34,1.65,35.29%,21.43%,00:02:51,2.44
help with moving costs,34,1.56,23.53%,41.51%,00:03:19,2.74
hepatitis a,34,1.12,0.00%,21.05%,00:01:20,1.41
hgv driver,34,1.32,11.76%,8.89%,00:02:46,2.62
HM Treasury,34,1.06,2.94%,36.11%,00:05:05,5.32
hospital appointments,34,1.15,29.41%,30.77%,00:01:56,2.85
hospital stay,34,1.26,17.65%,60.47%,00:01:24,2.18
Housing benefit calculator,34,1.15,11.76%,12.82%,00:03:51,3.82
HSE,34,1.15,5.88%,33.33%,00:01:07,1.35
htm 01-05,34,1.35,0.00%,15.22%,00:03:36,2.44
human trafficking,34,1.74,8.82%,18.64%,00:09:39,4.03
INCAPACITY BENEFIT,34,1.38,8.82%,14.89%,00:08:32,6.35
income tax calculator,34,1.21,11.76%,21.95%,00:03:36,3.41
infant feeding,34,1.41,23.53%,31.25%,00:02:33,2.06
information security,34,1.24,11.76%,28.57%,00:01:18,1.91
jshao,34,1.38,11.76%,8.51%,00:03:59,2.03
knotweed,34,1.18,14.71%,15.00%,00:03:52,1.59
KSF,34,1.29,11.76%,47.73%,00:00:32,1.06
legionella,34,1.53,11.76%,17.31%,00:02:22,2.24
looking for a job,34,1.09,8.82%,21.62%,00:00:50,1.68
LPA002,34,1.41,8.82%,39.58%,00:03:13,3.76
madrid,34,1.18,20.59%,25.00%,00:03:27,2.26
making a new claim,34,1.12,17.65%,28.95%,00:03:54,2.41
maternity allowance form,34,1.29,0.00%,9.09%,00:04:32,3.62
Medical,34,1.12,14.71%,47.37%,00:02:00,2.00
mot history check,34,1.06,5.88%,2.78%,00:02:50,1.68
motorbike test,34,1.21,2.94%,29.27%,00:04:11,5.06
Motorcycle theory test,34,1.15,5.88%,20.51%,00:02:11,2.91
mp,34,1.44,14.71%,44.90%,00:02:10,1.53
national minimum standards,34,1.24,17.65%,33.33%,00:02:01,1.21
neet,34,1.41,14.71%,22.92%,00:02:31,3.09
night work,34,1.35,2.94%,21.74%,00:04:55,4.29
offshore wind,34,1.41,17.65%,18.75%,00:05:37,2.35
ombudsman,34,1.29,20.59%,31.82%,00:02:40,1.41
ons,34,1.21,26.47%,12.20%,00:01:16,1.62
opt out form,34,1.32,14.71%,28.89%,00:01:59,3.00
p50,34,1.24,5.88%,28.57%,00:02:16,4.53
pa2,34,1.12,11.76%,52.63%,00:00:47,1.91
pa3,34,1.32,5.88%,24.44%,00:01:44,2.94
parents learning allowance,34,1.18,2.94%,30.00%,00:06:05,5.71
passport name change,34,1.32,8.82%,15.56%,00:04:10,4.18
Passport offices,34,1.00,5.88%,29.41%,00:02:53,2.85
passport price,34,1.09,8.82%,18.92%,00:01:45,3.09
pension tax credits,34,1.24,2.94%,19.05%,00:07:19,4.03
pneumococcal,34,1.35,5.88%,23.91%,00:02:36,1.94
poa,34,1.09,8.82%,67.57%,00:01:14,1.29
Pregnant,34,1.24,20.59%,19.05%,00:03:41,5.09
PRINCE2,34,1.09,20.59%,13.51%,00:01:22,0.91
privacy policy,34,1.15,17.65%,25.64%,00:02:31,1.74
private number plates,34,1.26,5.88%,23.26%,00:03:24,3.65
public holiday,34,1.15,32.35%,30.77%,00:01:57,1.41
Rapid Reclaim,34,1.41,0.00%,10.42%,00:06:51,5.88
records management,34,1.24,11.76%,19.05%,00:03:17,1.50
redundancy ready reckoner,34,1.24,26.47%,21.43%,00:03:06,3.35
rehabilitation of offenders,34,1.32,11.76%,37.78%,00:02:44,3.00
Renew child's passport,34,1.03,11.76%,17.14%,00:03:43,2.97
return old licence,34,1.21,26.47%,31.71%,00:02:17,1.62
risk assessments,34,1.32,26.47%,28.89%,00:01:38,1.59
RPI,34,1.09,23.53%,40.54%,00:02:47,1.97
safeguarding vulnerable adults,34,1.32,2.94%,11.11%,00:03:48,2.00
School holidays,34,1.09,11.76%,8.11%,00:01:17,2.53
SELF EMPLOYMENT,34,1.35,20.59%,19.57%,00:03:00,3.56
selling vehicle,34,1.32,17.65%,15.56%,00:01:31,1.65
spf,34,1.29,5.88%,18.18%,00:03:10,2.82
STATE PENSION AGE CALCULATOR,34,1.09,2.94%,0.00%,00:02:51,5.56
state retirement pension,34,1.32,2.94%,22.22%,00:04:32,5.74
statutory instruments,34,1.26,23.53%,48.84%,00:02:11,1.29
stay insured,34,1.12,23.53%,31.58%,00:04:36,2.35
strike,34,1.15,23.53%,28.21%,00:01:07,1.82
swaziland,34,1.18,0.00%,52.50%,00:03:22,2.91
Tax codes,34,1.18,5.88%,30.00%,00:04:17,4.47
tax rate,34,1.12,5.88%,42.11%,00:02:21,2.26
Teaching assistant,34,1.18,38.24%,17.50%,00:00:52,1.06
toolkit,34,1.32,14.71%,40.00%,00:02:44,2.24
trademark,34,1.06,11.76%,8.33%,00:02:36,1.74
transforming community services,34,1.44,5.88%,28.57%,00:04:33,2.29
Ukraine,34,1.15,8.82%,41.03%,00:03:22,4.06
universaljobmatch/jobsearch,34,1.03,0.00%,0.00%,00:00:22,1.06
update,34,1.21,5.88%,41.46%,00:02:09,2.26
Update Service,34,1.32,5.88%,22.22%,00:03:06,2.74
UTR,34,1.15,11.76%,20.51%,00:04:20,2.00
water bill,34,1.18,5.88%,22.50%,00:04:38,4.59
women,34,1.35,8.82%,32.61%,00:03:27,3.44
work and pensions,34,1.18,11.76%,37.50%,00:03:49,4.38
wrag,34,1.24,14.71%,59.52%,00:01:55,2.21
zostavax,34,1.21,14.71%,58.54%,00:01:57,1.29
вакансии,34,1.12,17.65%,28.95%,00:03:10,2.06
accounting,33,1.27,27.27%,19.05%,00:01:52,3.85
additional learning support,33,1.27,42.42%,26.19%,00:01:28,1.12
Albania,33,1.15,12.12%,31.58%,00:00:53,2.42
animal research,33,1.42,9.09%,21.28%,00:02:23,2.45
applying for a passport,33,1.27,3.03%,21.43%,00:08:52,6.88
asylum seekers,33,1.73,18.18%,35.09%,00:04:16,2.82
Austria,33,1.18,6.06%,51.28%,00:01:41,2.85
Baby passport,33,1.12,6.06%,21.62%,00:03:53,3.64
bank accounts,33,1.06,33.33%,34.29%,00:02:43,1.33
benefit calculater,33,1.33,15.15%,15.91%,00:07:16,3.18
benifit calculator,33,1.03,12.12%,11.76%,00:03:17,1.91
better regulation,33,1.30,3.03%,30.23%,00:04:31,2.82
bolton,33,1.18,24.24%,15.38%,00:01:51,1.85
book an appointment,33,1.18,9.09%,43.59%,00:03:37,2.82
booking practical driving test,33,1.15,0.00%,10.53%,00:04:48,2.30
british crime survey,33,1.67,12.12%,27.27%,00:03:20,1.97
brunei,33,1.09,6.06%,38.89%,00:02:57,2.85
business bank,33,1.61,18.18%,13.21%,00:05:03,3.67
business service,33,1.09,0.00%,5.56%,00:02:48,3.52
C2 form,33,1.33,18.18%,34.09%,00:01:57,2.00
calculate holiday entitlement,33,1.00,0.00%,3.03%,00:04:59,7.42
cardiff,33,1.15,30.30%,21.05%,00:01:55,2.45
certification,33,1.21,3.03%,57.50%,00:02:58,3.06
change address on passport,33,1.09,9.09%,25.00%,00:04:34,3.24
change of name on passport,33,1.18,0.00%,23.08%,00:05:39,5.42
change password,33,1.27,12.12%,26.19%,00:04:45,3.30
child health,33,1.39,6.06%,32.61%,00:04:11,2.58
citizen card,33,1.21,33.33%,30.00%,00:02:16,1.73
clothing grant,33,1.39,18.18%,28.26%,00:03:08,3.58
communities and local government,33,1.06,9.09%,25.71%,00:05:01,5.06
Competent persons scheme,33,1.15,21.21%,10.53%,00:01:40,1.76
Congo,33,1.27,0.00%,50.00%,00:01:43,2.09
contact jobcentre,33,1.12,0.00%,16.22%,00:03:06,2.76
contact you,33,1.27,9.09%,38.10%,00:02:44,2.09
corporate social responsibility,33,1.45,33.33%,27.08%,00:02:05,1.82
council tax banding,33,1.15,0.00%,15.79%,00:01:18,1.48
council tax benefits,33,1.42,6.06%,23.40%,00:04:01,4.55
counter part,33,1.12,12.12%,54.05%,00:01:47,1.24
counter signature,33,1.18,12.12%,48.72%,00:01:52,1.58
crb id,33,1.06,9.09%,17.14%,00:00:54,1.70
credit card,33,1.30,27.27%,39.53%,00:03:09,2.48
crime prevention,33,1.12,21.21%,24.32%,00:02:06,1.88
current year income form,33,1.24,9.09%,14.63%,00:04:11,3.97
d1 application form,33,1.12,21.21%,18.92%,00:03:56,3.21
department of education,33,1.24,15.15%,24.39%,00:04:20,4.91
disability and carers service,33,1.42,12.12%,36.17%,00:03:26,2.82
disability pension,33,1.12,36.36%,18.92%,00:02:48,3.61
discharge planning,33,1.33,33.33%,40.91%,00:01:27,1.52
E106,33,1.27,21.21%,59.52%,00:01:32,1.12
eggs,33,1.30,21.21%,32.56%,00:03:13,2.21
EGYPT,33,1.12,15.15%,21.62%,00:01:42,1.97
EMR,33,1.30,9.09%,25.58%,00:03:42,3.03
enquiries,33,1.18,9.09%,48.72%,00:01:48,1.82
esa50 form,33,1.33,18.18%,22.73%,00:02:30,3.52
eu student,33,1.36,9.09%,15.56%,00:04:36,5.42
fairer charging,33,1.45,9.09%,10.42%,00:03:02,2.52
FGM,33,1.70,15.15%,14.29%,00:06:07,3.85
film,33,1.24,15.15%,36.59%,00:02:21,2.42
find an embassy,33,1.36,21.21%,48.89%,00:02:24,2.09
find my council,33,1.24,6.06%,12.20%,00:00:44,1.30
fire risk assessment guides,33,2.48,42.42%,12.20%,00:04:50,2.21
fkpq,33,1.21,33.33%,30.00%,00:00:47,1.00
form s1,33,1.27,9.09%,47.62%,00:01:52,1.52
fsa,33,1.36,18.18%,40.00%,00:02:54,2.67
g8 summit,33,1.27,12.12%,16.67%,00:03:36,3.00
goats,33,1.45,6.06%,6.25%,00:04:11,2.94
governors guide to the law,33,1.21,42.42%,25.00%,00:01:26,0.79
guardian,33,1.30,15.15%,51.16%,00:02:13,2.48
hgv licence,33,1.36,6.06%,33.33%,00:04:15,4.24
hhsrs,33,1.64,3.03%,12.96%,00:03:22,3.76
Hmrc,33,1.12,33.33%,21.62%,00:02:50,2.52
hr1,33,1.18,6.06%,23.08%,00:03:22,3.21
HR1,33,1.15,3.03%,28.95%,00:03:43,4.09
ICT,33,1.42,12.12%,38.30%,00:03:57,3.03
IHT400,33,1.55,6.06%,45.10%,00:04:30,4.18
index of multiple deprivation,33,1.06,24.24%,8.57%,00:03:17,1.67
inheritance tax forms,33,1.33,6.06%,38.64%,00:04:35,5.18
job adverts,33,1.12,12.12%,21.62%,00:02:58,1.97
job seekers claim,33,1.18,9.09%,10.26%,00:02:32,3.27
Jobseekers Allowance,33,1.15,3.03%,18.42%,00:03:45,3.97
jobseekers claim,33,1.06,6.06%,17.14%,00:05:20,5.09
letter,33,1.18,24.24%,43.59%,00:01:42,1.73
Lost v5,33,1.15,9.09%,15.79%,00:02:42,1.64
lottery,33,1.42,12.12%,29.79%,00:02:01,2.15
mail,33,1.18,12.12%,38.46%,00:03:42,1.97
Maintenance,33,1.06,12.12%,17.14%,00:01:40,2.64
Malta,33,1.27,9.09%,38.10%,00:02:27,3.36
manage adi,33,1.36,6.06%,8.89%,00:03:21,3.09
maritime,33,1.21,15.15%,27.50%,00:05:02,6.09
married couples state pension,33,1.52,21.21%,20.00%,00:01:57,5.03
Maternity Leave,33,1.21,9.09%,15.00%,00:05:44,7.03
mentoring,33,1.24,24.24%,34.15%,00:02:46,1.76
military,33,1.12,15.15%,59.46%,00:02:13,0.88
milton keynes,33,1.21,21.21%,27.50%,00:03:50,2.09
motorbike licence,33,1.39,3.03%,13.04%,00:06:35,8.12
National insurance card,33,1.06,9.09%,11.43%,00:01:25,1.91
NATIONAL MINIMUM WAGE,33,1.18,6.06%,12.82%,00:03:18,2.91
nhs card,33,1.18,39.39%,33.33%,00:00:42,0.42
Notice period,33,1.09,6.06%,19.44%,00:02:05,3.33
parent support,33,1.12,6.06%,29.73%,00:07:40,5.70
passport helpline,33,1.12,15.15%,13.51%,00:02:58,2.36
passport payment form,33,1.30,3.03%,34.88%,00:04:15,4.33
passport renewals,33,1.09,6.06%,27.78%,00:04:03,3.70
patient consent,33,1.58,21.21%,26.92%,00:02:56,2.52
penaltynotice,33,1.18,21.21%,38.46%,00:01:22,1.42
photocard,33,1.06,12.12%,28.57%,00:05:32,2.15
points on licence,33,1.42,3.03%,4.26%,00:06:41,6.76
Police,33,1.21,12.12%,32.50%,00:01:42,2.09
police pension calculator,33,1.39,9.09%,21.74%,00:01:57,2.15
pregnancy grant,33,1.24,33.33%,9.76%,00:03:14,3.39
privacy,33,1.61,21.21%,28.30%,00:02:23,2.79
protective marking,33,1.24,33.33%,43.90%,00:01:08,1.61
provisonal,33,1.12,3.03%,18.92%,00:04:37,2.61
register a birth abroad,33,1.12,12.12%,32.43%,00:09:23,5.24
renewal form,33,1.27,9.09%,35.71%,00:02:44,2.48
renewal of passport,33,1.24,0.00%,31.71%,00:06:26,5.45
return to work credits,33,1.09,0.00%,16.67%,00:03:48,4.39
rights,33,1.06,18.18%,45.71%,00:01:18,1.12
Rwanda,33,1.42,15.15%,27.66%,00:01:39,2.27
savings and benefits,33,1.27,0.00%,40.48%,00:03:49,2.88
Savings credit,33,1.24,33.33%,12.20%,00:02:11,2.82
Scholarship,33,1.18,39.39%,12.82%,00:02:32,1.18
school leavers,33,1.18,12.12%,33.33%,00:03:49,3.15
screening,33,1.24,27.27%,34.15%,00:01:36,1.64
shale,33,1.82,27.27%,15.00%,00:03:30,2.88
short time working,33,1.15,3.03%,23.68%,00:04:05,4.00
sick pay for self employed,33,1.39,6.06%,30.43%,00:06:08,5.39
Sickness benefit,33,1.27,6.06%,21.43%,00:05:04,5.88
sickness pay,33,1.48,3.03%,34.69%,00:06:50,5.09
social loans,33,1.15,0.00%,23.68%,00:02:11,4.03
speed camera,33,1.64,21.21%,24.07%,00:03:45,2.39
tacho card,33,1.24,3.03%,19.51%,00:02:35,1.82
tenancy deposit,33,1.18,3.03%,7.69%,00:03:24,4.03
therory test,33,1.06,3.03%,34.29%,00:04:11,3.09
togo,33,1.15,3.03%,60.53%,00:01:55,1.64
Track application,33,1.09,6.06%,36.11%,00:01:36,1.58
transfer,33,1.15,12.12%,36.84%,00:01:41,2.67
universal match,33,1.18,0.00%,12.82%,00:01:25,1.36
us visa,33,1.15,21.21%,13.16%,00:01:05,1.58
V188,33,1.30,21.21%,25.58%,00:03:03,4.09
v5c/3,33,1.18,9.09%,20.51%,00:01:49,2.27
victimisation,33,1.48,18.18%,22.45%,00:04:16,2.42
visa to uk,33,1.12,0.00%,29.73%,00:02:40,1.15
Voluntary redundancy,33,1.27,27.27%,16.67%,00:02:55,3.73
water pollution,33,1.76,21.21%,24.14%,00:03:23,2.03
Winter fuel payment,33,1.42,6.06%,25.53%,00:05:55,6.12
winterbourne,33,1.30,3.03%,20.93%,00:02:08,2.36
work capability assessment,33,1.42,15.15%,27.66%,00:05:28,3.30
work life balance,33,1.18,30.30%,30.77%,00:05:36,1.79
work permits,33,1.36,12.12%,31.11%,00:01:26,3.06
www.direct.gov.uk/renewat70,33,1.12,0.00%,2.70%,00:10:54,2.39
york,33,1.15,24.24%,18.42%,00:01:46,1.45
24 learning loan,32,1.03,6.25%,3.03%,00:03:41,4.75
address continuation,32,1.09,3.12%,68.57%,00:01:54,1.47
age limit,32,1.06,21.88%,55.88%,00:01:01,1.34
America,32,1.16,18.75%,62.16%,00:00:34,0.69
animal health,32,1.78,3.12%,24.56%,00:05:47,3.34
announcements,32,1.16,0.00%,27.03%,00:04:45,4.97
Appeal,32,1.28,12.50%,29.27%,00:01:27,2.12
apply for job seekers allowance,32,1.03,3.12%,15.15%,00:01:53,2.88
appostile,32,1.41,9.38%,51.11%,00:03:41,3.56
back to work payment,32,1.56,12.50%,34.00%,00:03:51,4.66
badger,32,1.16,12.50%,5.41%,00:02:39,2.66
bakery,32,1.28,15.62%,12.20%,00:03:50,5.25
benefits checker,32,1.22,12.50%,10.26%,00:07:46,4.44
book appointment,32,1.19,9.38%,52.63%,00:02:57,2.81
books,32,1.06,25.00%,38.24%,00:00:55,2.00
calendar,32,1.34,15.62%,37.21%,00:01:51,2.50
camhs,32,1.62,15.62%,26.92%,00:02:27,2.25
capability,32,1.41,25.00%,31.11%,00:01:38,1.94
car tax online,32,1.06,0.00%,5.88%,00:03:12,2.03
CCG,32,1.41,12.50%,37.78%,00:03:10,2.22
change 4 life,32,1.16,34.38%,51.35%,00:00:42,0.84
change date practical test,32,1.06,0.00%,5.88%,00:01:52,1.22
change of bank account,32,1.19,12.50%,36.84%,00:02:20,1.91
changing your name,32,1.34,12.50%,13.95%,00:02:25,2.94
child abduction,32,1.31,12.50%,11.90%,00:02:29,2.16
Child Tax Credit,32,1.16,0.00%,29.73%,00:03:05,3.44
childhood immunisation schedule,32,1.59,6.25%,13.73%,00:03:40,3.06
china visa,32,1.28,9.38%,26.83%,00:01:38,2.31
Clinical governance,32,1.62,12.50%,7.69%,00:02:50,2.91
coffee shop,32,1.34,6.25%,46.51%,00:03:30,4.03
Compassionate leave,32,1.22,21.88%,28.21%,00:01:10,1.91
consent to share,32,1.06,81.25%,11.76%,00:02:02,0.75
coronavirus,32,1.91,12.50%,6.56%,00:02:27,3.38
cost of child passport,32,1.25,3.12%,15.00%,00:01:19,2.25
council tax exemption,32,1.41,18.75%,26.67%,00:02:51,3.62
course,32,1.47,34.38%,27.66%,00:02:14,2.00
declaration of voluntary surrender,32,1.25,0.00%,10.00%,00:02:04,2.09
dentists,32,1.16,31.25%,35.14%,00:01:05,0.97
department of work and pensions,32,1.16,12.50%,59.46%,00:03:30,2.59
dfg,32,1.22,9.38%,38.46%,00:02:00,1.97
dla contact number,32,1.19,9.38%,26.32%,00:01:10,1.66
dla phone number,32,1.38,21.88%,15.91%,00:01:52,2.06
dog passport,32,1.31,21.88%,26.19%,00:01:17,1.56
driving test routes,32,1.66,15.62%,20.75%,00:03:12,3.31
DVLA address,32,1.22,9.38%,12.82%,00:02:13,2.50
energy trends,32,1.28,0.00%,19.51%,00:04:34,4.00
environmental permitting,32,1.56,12.50%,28.00%,00:04:17,3.03
esa 3,32,1.22,18.75%,41.03%,00:02:03,4.00
EUROPEAN HEALTH INSURANCE CARD,32,1.22,78.12%,20.51%,00:00:27,0.47
events finder,32,1.28,3.12%,19.51%,00:04:51,2.91
fax number,32,1.12,50.00%,19.44%,00:02:18,1.22
flat rate pension,32,1.41,9.38%,17.78%,00:03:54,4.50
free computer,32,1.19,34.38%,39.47%,00:02:18,2.03
Free school meals,32,1.12,12.50%,13.89%,00:02:07,2.44
Funeral,32,1.12,25.00%,27.78%,00:02:26,2.50
funeral expenses,32,1.03,3.12%,18.18%,00:03:37,4.66
HEALTH,32,1.22,15.62%,51.28%,00:01:30,1.94
health advice for travellers,32,1.34,12.50%,41.86%,00:03:34,2.56
health building note,32,1.44,6.25%,34.78%,00:05:08,5.38
HMO,32,1.41,3.12%,17.78%,00:03:33,2.19
house of commons,32,1.19,34.38%,23.68%,00:02:43,1.50
housing act,32,1.19,12.50%,39.47%,00:02:47,1.84
Identity documents,32,1.06,3.12%,11.76%,00:00:51,1.50
Immunisations,32,1.22,9.38%,25.64%,00:04:28,3.75
immunoglobulin,32,1.22,3.12%,15.38%,00:03:48,2.41
in10,32,1.12,21.88%,5.56%,00:02:44,3.38
international trade,32,1.44,6.25%,43.48%,00:09:32,4.06
jobsearch.direct.gov.uk,32,1.34,18.75%,23.26%,00:03:40,1.62
jsa holiday,32,1.38,18.75%,20.45%,00:01:39,2.88
jsaol,32,1.50,3.12%,16.67%,00:01:46,4.16
kids,32,1.22,28.12%,38.46%,00:01:15,1.69
Kosovo,32,1.28,9.38%,34.15%,00:02:13,3.00
legalise documents,32,1.28,0.00%,12.20%,00:03:05,4.41
long term sickness,32,1.50,9.38%,29.17%,00:03:27,3.47
LOST PASSPORT,32,1.38,0.00%,15.91%,00:07:38,5.78
married couple state pension,32,1.38,6.25%,15.91%,00:03:44,5.69
midata,32,1.59,6.25%,1.96%,00:03:47,2.91
milk,32,1.25,15.62%,47.50%,00:02:02,1.91
minimun wage,32,1.16,0.00%,18.92%,00:03:15,3.94
msva,32,1.53,9.38%,16.33%,00:05:03,3.44
national service framework for older people,32,1.56,3.12%,14.00%,00:07:49,4.38
newport passport office,32,1.25,9.38%,12.50%,00:04:39,3.66
NICE,32,1.28,9.38%,19.51%,00:02:10,2.59
notice to quit,32,1.38,9.38%,36.36%,00:04:45,3.47
part time working,32,1.28,3.12%,26.83%,00:05:33,6.34
pay penalty notice,32,1.28,15.62%,31.71%,00:01:58,2.59
pension tax credit,32,1.19,6.25%,18.42%,00:03:49,3.72
pensioncredit,32,1.41,0.00%,6.67%,00:07:06,5.00
PHE,32,1.38,12.50%,15.91%,00:04:19,4.69
Photo,32,1.31,3.12%,21.43%,00:01:45,2.00
place a job,32,1.16,9.38%,29.73%,00:04:18,1.66
POWER OF ATTORNEY,32,1.09,15.62%,8.57%,00:03:18,4.62
private number plate,32,1.16,15.62%,10.81%,00:02:13,2.19
programme budgeting,32,1.41,37.50%,15.56%,00:03:25,2.12
property for sale,32,1.47,18.75%,14.89%,00:04:41,3.59
quad bike,32,1.41,12.50%,20.00%,00:04:06,3.62
r,32,1.25,34.38%,35.00%,00:00:32,0.72
racism,32,1.19,31.25%,28.95%,00:01:37,1.75
rail franchise,32,1.38,3.12%,9.09%,00:06:39,4.91
reablement,32,2.12,18.75%,25.00%,00:04:36,2.41
redundancy calculations,32,1.09,3.12%,14.29%,00:03:39,7.06
register with universal jobmatch,32,1.22,0.00%,15.38%,00:06:11,2.31
renewal at 70,32,1.16,0.00%,10.81%,00:05:39,2.72
renewal blue badge,32,1.31,15.62%,28.57%,00:01:53,2.03
replacement v5,32,1.09,0.00%,20.00%,00:03:41,2.56
resigning,32,1.31,6.25%,28.57%,00:02:49,3.44
retention document,32,1.16,6.25%,43.24%,00:01:24,1.84
Retirement,32,1.12,6.25%,27.78%,00:03:29,4.12
roads,32,1.28,15.62%,51.22%,00:02:22,2.16
section 19,32,1.25,18.75%,47.50%,00:01:39,2.25
selfemployed,32,1.16,15.62%,51.35%,00:02:47,2.53
settlement,32,1.22,21.88%,48.72%,00:01:08,0.97
sorn declaration,32,1.03,6.25%,12.12%,00:03:28,2.22
STATUTORY SICK PAY,32,1.12,0.00%,19.44%,00:04:43,5.06
student finance contact,32,1.12,3.12%,8.33%,00:02:13,1.69
studying abroad,32,1.19,31.25%,18.42%,00:00:44,1.38
summer jobs,32,1.28,25.00%,9.76%,00:01:34,1.66
Taxi,32,1.25,3.12%,20.00%,00:02:36,2.38
thameslink,32,2.16,12.50%,7.25%,00:04:46,4.44
theft,32,1.12,28.12%,44.44%,00:00:44,0.84
tips,32,1.25,3.12%,17.50%,00:03:11,2.84
toll concessions,32,1.22,21.88%,51.28%,00:03:52,2.84
trade unions,32,1.44,12.50%,23.91%,00:02:49,2.91
UK visa,32,1.31,25.00%,19.05%,00:02:45,2.25
update driving licence,32,1.12,3.12%,11.11%,00:05:02,2.94
vaccine,32,1.56,18.75%,30.00%,00:06:45,4.38
value based pricing,32,1.62,28.12%,30.77%,00:02:33,2.19
vince cable,32,1.22,18.75%,30.77%,00:02:36,2.91
